"area label","area long label","area","Total expenditure on arts, tourism, & the historic environment per head"
"area label","area long label","area","23125"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"area label","area long label","area","GBP per person"
"area label","area long label","area","raw"
"East Sussex","East Sussex (County)","E10000011","0"
"Adur","Adur (District)","E07000223","14"
"Amber Valley","Amber Valley (District)","E07000032","1"
"Arun","Arun (District)","E07000224","1"
"Ashfield","Ashfield (District)","E07000170","0"
"Ashford","Ashford (District)","E07000105","5"
"Babergh","Babergh (District)","E07000200","Missing"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","23"
"Barnet","Barnet (London borough)","E09000003","0"
"Barnsley","Barnsley (Metropolitan borough)","E08000038","11"
"Basildon","Basildon (District)","E07000066","13"
"Basingstoke and Deane","Basingstoke and Deane (District)","E07000084","8"
"Bassetlaw","Bassetlaw (District)","E07000171","2"
"Bath and North East Somerset","Bath and North East Somerset (Unitary)","E06000022","62"
"Bedford Borough","Bedford Borough (Unitary)","E06000055","9"
"Bexley","Bexley (London borough)","E09000004","2"
"Birmingham","Birmingham (Metropolitan borough)","E08000025","Missing"
"Blaby","Blaby (District)","E07000129","2"
"Blackburn with Darwen","Blackburn with Darwen (Unitary)","E06000008","26"
"Blackpool","Blackpool (Unitary)","E06000009","57"
"Bolsover","Bolsover (District)","E07000033","3"
"Bolton","Bolton (Metropolitan borough)","E08000001","5"
"Boston","Boston (District)","E07000136","6"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)","E06000058","15"
"Bracknell Forest","Bracknell Forest (Unitary)","E06000036","2"
"Bradford","Bradford (Metropolitan borough)","E08000032","39"
"Braintree","Braintree (District)","E07000067","2"
"Breckland","Breckland (District)","E07000143","0"
"Brent","Brent (London borough)","E09000005","3"
"Brentwood","Brentwood (District)","E07000068","Missing"
"Brighton and Hove","Brighton and Hove (Unitary)","E06000043","40"
"Bristol","Bristol (Unitary)","E06000023","7"
"Broadland","Broadland (District)","E07000144","0"
"Bromley","Bromley (London borough)","E09000006","4"
"Bromsgrove","Bromsgrove (District)","E07000234","1"
"Broxbourne","Broxbourne (District)","E07000095","1"
"Broxtowe","Broxtowe (District)","E07000172","2"
"Buckinghamshire","Buckinghamshire (Unitary)","E06000060","0"
"Burnley","Burnley (District)","E07000117","2"
"Bury","Bury (Metropolitan borough)","E08000002","1"
"Calderdale","Calderdale (Metropolitan borough)","E08000033","13"
"Cambridge","Cambridge (District)","E07000008","Missing"
"Cambridgeshire","Cambridgeshire (County)","E10000003","1"
"Camden","Camden (London borough)","E09000007","6"
"Cannock Chase","Cannock Chase (District)","E07000192","Missing"
"Canterbury","Canterbury (District)","E07000106","3"
"Castle Point","Castle Point (District)","E07000069","Missing"
"Central Bedfordshire","Central Bedfordshire (Unitary)","E06000056","2"
"Charnwood","Charnwood (District)","E07000130","18"
"Chelmsford","Chelmsford (District)","E07000070","34"
"Cheltenham","Cheltenham (District)","E07000078","22"
"Cherwell","Cherwell (District)","E07000177","4"
"Cheshire East","Cheshire East (Unitary)","E06000049","4"
"Cheshire West and Chester","Cheshire West and Chester (Unitary)","E06000050","8"
"Chesterfield","Chesterfield (District)","E07000034","3"
"Chichester","Chichester (District)","E07000225","2"
"Chorley","Chorley (District)","E07000118","6"
"City of London","City of London (London borough)","E09000001","4,766"
"Colchester","Colchester (District)","E07000071","Missing"
"Cornwall","Cornwall (Unitary)","E06000052","5"
"Cotswold","Cotswold (District)","E07000079","13"
"Coventry","Coventry (Metropolitan borough)","E08000026","15"
"Crawley","Crawley (District)","E07000226","6"
"Croydon","Croydon (London borough)","E09000008","0"
"Cumberland","Cumberland (Unitary)","E06000063","15"
"Dacorum","Dacorum (District)","E07000096","5"
"Darlington","Darlington (Unitary)","E06000005","63"
"Dartford","Dartford (District)","E07000107","22"
"Derby","Derby (Unitary)","E06000015","16"
"Derbyshire","Derbyshire (County)","E10000007","2"
"Derbyshire Dales","Derbyshire Dales (District)","E07000035","8"
"Devon","Devon (County)","E10000008","0"
"Doncaster","Doncaster (Metropolitan borough)","E08000017","11"
"Dorset","Dorset (Unitary)","E06000059","5"
"Dover","Dover (District)","E07000108","6"
"Dudley","Dudley (Metropolitan borough)","E08000027","13"
"Durham","Durham (Unitary)","E06000047","21"
"Ealing","Ealing (London borough)","E09000009","3"
"East Cambridgeshire","East Cambridgeshire (District)","E07000009","2"
"East Devon","East Devon (District)","E07000040","7"
"East Hampshire","East Hampshire (District)","E07000085","2"
"East Hertfordshire","East Hertfordshire (District)","E07000242","6"
"East Lindsey","East Lindsey (District)","E07000137","11"
"East Riding of Yorkshire","East Riding of Yorkshire (Unitary)","E06000011","25"
"East Staffordshire","East Staffordshire (District)","E07000193","15"
"East Suffolk","East Suffolk (District)","E07000244","10"
"Eastbourne","Eastbourne (District)","E07000061","88"
"Eastleigh","Eastleigh (District)","E07000086","9"
"Elmbridge","Elmbridge (District)","E07000207","2"
"Enfield","Enfield (London borough)","E09000010","8"
"Epping Forest","Epping Forest (District)","E07000072","0"
"Epsom and Ewell","Epsom and Ewell (District)","E07000208","27"
"Erewash","Erewash (District)","E07000036","2"
"Essex","Essex (County)","E10000012","0"
"Exeter","Exeter (District)","E07000041","16"
"Fareham","Fareham (District)","E07000087","2"
"Fenland","Fenland (District)","E07000010","1"
"Folkestone and Hythe","Folkestone and Hythe (District)","E07000112","9"
"Forest of Dean","Forest of Dean (District)","E07000080","0"
"Fylde","Fylde (District)","E07000119","10"
"Gateshead","Gateshead (Metropolitan borough)","E08000037","5"
"Gedling","Gedling (District)","E07000173","5"
"Gloucester","Gloucester (District)","E07000081","23"
"Gloucestershire","Gloucestershire (County)","E10000013","0"
"Gosport","Gosport (District)","E07000088","4"
"Gravesham","Gravesham (District)","E07000109","17"
"Great Yarmouth","Great Yarmouth (District)","E07000145","14"
"Greenwich","Greenwich (London borough)","E09000011","20"
"Guildford","Guildford (District)","E07000209","11"
"Hackney","Hackney (London borough)","E09000012","4"
"Halton","Halton (Unitary)","E06000006","15"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","6"
"Hampshire","Hampshire (County)","E10000014","0"
"Harborough","Harborough (District)","E07000131","0"
"Haringey","Haringey (London borough)","E09000014","5"
"Harlow","Harlow (District)","E07000073","26"
"Harrow","Harrow (London borough)","E09000015","8"
"Hart","Hart (District)","E07000089","0"
