"area label","area long label","area","% of children at expected level in Expressive arts and design"
"area label","area long label","area","3676"
"area label","area long label","area","2023/24 (academic)"
"area label","area long label","area","sch_2023_24"
"area label","area long label","area","%"
"area label","area long label","area","raw"
"Brighton and Hove","Brighton and Hove (Unitary)","E06000043","88.0"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","81.5"
"Barnet","Barnet (London borough)","E09000003","85.9"
"Barnsley","Barnsley (Metropolitan borough)","E08000038","81.3"
"Bath and North East Somerset","Bath and North East Somerset (Unitary)","E06000022","87.7"
"Bedford Borough","Bedford Borough (Unitary)","E06000055","82.1"
"Bexley","Bexley (London borough)","E09000004","86.4"
"Birmingham","Birmingham (Metropolitan borough)","E08000025","79.5"
"Blackburn with Darwen","Blackburn with Darwen (Unitary)","E06000008","78.7"
"Blackpool","Blackpool (Unitary)","E06000009","82.3"
"Bolton","Bolton (Metropolitan borough)","E08000001","80.0"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)","E06000058","89.1"
"Bracknell Forest","Bracknell Forest (Unitary)","E06000036","89.2"
"Bradford","Bradford (Metropolitan borough)","E08000032","76.5"
"Brent","Brent (London borough)","E09000005","83.7"
"Bristol","Bristol (Unitary)","E06000023","87.2"
"Bromley","Bromley (London borough)","E09000006","89.4"
"Buckinghamshire","Buckinghamshire (Unitary)","E06000060","89.0"
"Bury","Bury (Metropolitan borough)","E08000002","82.2"
"Calderdale","Calderdale (Metropolitan borough)","E08000033","83.1"
"Cambridgeshire","Cambridgeshire (County)","E10000003","86.3"
"Camden","Camden (London borough)","E09000007","86.0"
"Central Bedfordshire","Central Bedfordshire (Unitary)","E06000056","86.8"
"Cheshire East","Cheshire East (Unitary)","E06000049","85.4"
"Cheshire West and Chester","Cheshire West and Chester (Unitary)","E06000050","85.6"
"City of London","City of London (London borough)","E09000001","94.7"
"Cornwall","Cornwall (Unitary)","E06000052","88.0"
"Coventry","Coventry (Metropolitan borough)","E08000026","80.0"
"Croydon","Croydon (London borough)","E09000008","84.3"
"Cumberland","Cumberland (Unitary)","E06000063","86.1"
"Darlington","Darlington (Unitary)","E06000005","80.7"
"Derby","Derby (Unitary)","E06000015","81.8"
"Derbyshire","Derbyshire (County)","E10000007","85.3"
"Devon","Devon (County)","E10000008","88.8"
"Doncaster","Doncaster (Metropolitan borough)","E08000017","82.2"
"Dorset","Dorset (Unitary)","E06000059","88.8"
"Dudley","Dudley (Metropolitan borough)","E08000027","78.2"
"Durham","Durham (Unitary)","E06000047","83.7"
"Ealing","Ealing (London borough)","E09000009","85.6"
"East Riding of Yorkshire","East Riding of Yorkshire (Unitary)","E06000011","88.4"
"East Sussex","East Sussex (County)","E10000011","86.8"
"Enfield","Enfield (London borough)","E09000010","83.6"
"Essex","Essex (County)","E10000012","86.3"
"Gateshead","Gateshead (Metropolitan borough)","E08000037","86.0"
"Gloucestershire","Gloucestershire (County)","E10000013","88.2"
"Greenwich","Greenwich (London borough)","E09000011","82.6"
"Hackney","Hackney (London borough)","E09000012","82.0"
"Halton","Halton (Unitary)","E06000006","81.3"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","86.5"
"Hampshire","Hampshire (County)","E10000014","89.6"
"Haringey","Haringey (London borough)","E09000014","86.2"
"Harrow","Harrow (London borough)","E09000015","84.6"
"Hartlepool","Hartlepool (Unitary)","E06000001","77.2"
"Havering","Havering (London borough)","E09000016","84.4"
"Herefordshire","Herefordshire (Unitary)","E06000019","87.1"
"Hertfordshire","Hertfordshire (County)","E10000015","86.6"
"Hillingdon","Hillingdon (London borough)","E09000017","82.7"
"Hounslow","Hounslow (London borough)","E09000018","79.9"
"Isle of Wight","Isle of Wight (Unitary)","E06000046","85.6"
"Isles of Scilly","Isles of Scilly (Unitary)","E06000053","100.0"
"Islington","Islington (London borough)","E09000019","81.6"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","87.3"
"Kent","Kent (County)","E10000016","87.0"
"Kingston upon Hull","Kingston upon Hull (Unitary)","E06000010","79.7"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","89.1"
"Kirklees","Kirklees (Metropolitan borough)","E08000034","82.9"
"Knowsley","Knowsley (Metropolitan borough)","E08000011","82.6"
"Lambeth","Lambeth (London borough)","E09000022","85.8"
"Lancashire","Lancashire (County)","E10000017","81.7"
"Leeds","Leeds (Metropolitan borough)","E08000035","84.0"
"Leicester","Leicester (Unitary)","E06000016","77.6"
"Leicestershire","Leicestershire (County)","E10000018","87.4"
"Lewisham","Lewisham (London borough)","E09000023","87.7"
"Lincolnshire","Lincolnshire (County)","E10000019","85.8"
"Liverpool","Liverpool (Metropolitan borough)","E08000012","81.5"
"Luton","Luton (Unitary)","E06000032","77.2"
"Manchester","Manchester (Metropolitan borough)","E08000003","75.4"
"Medway","Medway (Unitary)","E06000035","85.1"
"Merton","Merton (London borough)","E09000024","84.4"
"Middlesbrough","Middlesbrough (Unitary)","E06000002","74.9"
"Milton Keynes","Milton Keynes (Unitary)","E06000042","85.1"
"Newcastle upon Tyne","Newcastle upon Tyne (Metropolitan borough)","E08000021","84.4"
"Newham","Newham (London borough)","E09000025","83.8"
"Norfolk","Norfolk (County)","E10000020","87.0"
"North East Lincolnshire","North East Lincolnshire (Unitary)","E06000012","85.8"
"North Lincolnshire","North Lincolnshire (Unitary)","E06000013","87.5"
"North Northamptonshire","North Northamptonshire (Unitary)","E06000061","84.1"
"North Somerset","North Somerset (Unitary)","E06000024","88.6"
"North Tyneside","North Tyneside (Metropolitan borough)","E08000022","83.8"
"North Yorkshire","North Yorkshire (Unitary)","E06000065","88.8"
"Northumberland","Northumberland (Unitary)","E06000057","85.4"
"Nottingham","Nottingham (Unitary)","E06000018","80.4"
"Nottinghamshire","Nottinghamshire (County)","E10000024","84.9"
"Oldham","Oldham (Metropolitan borough)","E08000004","78.2"
"Oxfordshire","Oxfordshire (County)","E10000025","89.3"
