"area label","area long label","area","Total expenditure on arts, tourism and historic environment"
"area label","area long label","area","6605"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"area label","area long label","area","GBP (000)"
"area label","area long label","area","raw"
"Devon","Devon (County)","E10000008","112"
"Cambridgeshire","Cambridgeshire (County)","E10000003","737"
"Derbyshire","Derbyshire (County)","E10000007","1,735"
"East Sussex","East Sussex (County)","E10000011","193"
"Essex","Essex (County)","E10000012","737"
"Gloucestershire","Gloucestershire (County)","E10000013","0"
"Hampshire","Hampshire (County)","E10000014","575"
"Hertfordshire","Hertfordshire (County)","E10000015","2,647"
"Kent","Kent (County)","E10000016","2,514"
"Lancashire","Lancashire (County)","E10000017","947"
"Leicestershire","Leicestershire (County)","E10000018","1,763"
"Lincolnshire","Lincolnshire (County)","E10000019","4,508"
"Norfolk","Norfolk (County)","E10000020","1,046"
"Nottinghamshire","Nottinghamshire (County)","E10000024","1,523"
"Oxfordshire","Oxfordshire (County)","E10000025","193"
"Staffordshire","Staffordshire (County)","E10000028","1,223"
"Suffolk","Suffolk (County)","E10000029","448"
"Surrey","Surrey (County)","E10000030","2,909"
"Warwickshire","Warwickshire (County)","E10000031","1,379"
"West Sussex","West Sussex (County)","E10000032","0"
"Worcestershire","Worcestershire (County)","E10000034","3,876"
