"area label","area long label","area","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months"
"area label","area long label","area","23560","23560","23560","23560","23560","23560"
"area label","area long label","area","%","%","%","%","%","%"
"area label","area long label","area","raw","raw","raw","raw","raw","raw"
"area label","area long label","area","2018/19","2019/20","2020/21","2021/22","2022/23","2023/24"
"area label","area long label","area","fin_2018_19","fin_2019_20","fin_2020_21","fin_2021_22","fin_2022_23","fin_2023_24"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","no value","no value","no value","no value","no value","19"
"Barnet","Barnet (London borough)","E09000003","no value","no value","no value","no value","no value","17"
"Barnsley","Barnsley (Metropolitan borough)","E08000038","no value","no value","no value","no value","no value","19"
"Bath and North East Somerset","Bath and North East Somerset (Unitary)","E06000022","no value","no value","no value","no value","no value","16"
"Bedford Borough","Bedford Borough (Unitary)","E06000055","no value","no value","no value","no value","no value","20"
"Bexley","Bexley (London borough)","E09000004","no value","no value","no value","no value","no value","17"
"Birmingham","Birmingham (Metropolitan borough)","E08000025","no value","no value","no value","no value","no value","15"
"Blackburn with Darwen","Blackburn with Darwen (Unitary)","E06000008","no value","no value","no value","no value","no value","13"
"Blackpool","Blackpool (Unitary)","E06000009","no value","no value","no value","no value","no value","15"
"Bolton","Bolton (Metropolitan borough)","E08000001","no value","no value","no value","no value","no value","17"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)","E06000058","no value","no value","no value","no value","no value","19"
"Bracknell Forest","Bracknell Forest (Unitary)","E06000036","no value","no value","no value","no value","no value","18"
"Bradford","Bradford (Metropolitan borough)","E08000032","no value","no value","no value","no value","no value","15"
"Brent","Brent (London borough)","E09000005","no value","no value","no value","no value","no value","15"
"Brighton and Hove","Brighton and Hove (Unitary)","E06000043","no value","no value","no value","no value","no value","20"
"Bristol","Bristol (Unitary)","E06000023","no value","no value","no value","no value","no value","19"
"Bromley","Bromley (London borough)","E09000006","no value","no value","no value","no value","no value","17"
"Buckinghamshire","Buckinghamshire (Unitary)","E06000060","no value","no value","no value","no value","no value","19"
"Bury","Bury (Metropolitan borough)","E08000002","no value","no value","no value","no value","no value","17"
"Calderdale","Calderdale (Metropolitan borough)","E08000033","no value","no value","no value","no value","no value","17"
"Cambridgeshire","Cambridgeshire (County)","E10000003","no value","no value","no value","no value","no value","no value"
"Camden","Camden (London borough)","E09000007","no value","no value","no value","no value","no value","19"
"Central Bedfordshire","Central Bedfordshire (Unitary)","E06000056","no value","no value","no value","no value","no value","17"
"Cheshire East","Cheshire East (Unitary)","E06000049","no value","no value","no value","no value","no value","20"
"Cheshire West and Chester","Cheshire West and Chester (Unitary)","E06000050","no value","no value","no value","no value","no value","22"
"City of London","City of London (London borough)","E09000001","no value","no value","no value","no value","no value","11"
"Cornwall","Cornwall (Unitary)","E06000052","no value","no value","no value","no value","no value","18"
"Coventry","Coventry (Metropolitan borough)","E08000026","no value","no value","no value","no value","no value","15"
"Croydon","Croydon (London borough)","E09000008","no value","no value","no value","no value","no value","20"
"Cumberland","Cumberland (Unitary)","E06000063","no value","no value","no value","no value","no value","18"
"Darlington","Darlington (Unitary)","E06000005","no value","no value","no value","no value","no value","12"
"Derby","Derby (Unitary)","E06000015","no value","no value","no value","no value","no value","16"
"Derbyshire","Derbyshire (County)","E10000007","no value","no value","no value","no value","no value","no value"
"Devon","Devon (County)","E10000008","no value","no value","no value","no value","no value","no value"
"Doncaster","Doncaster (Metropolitan borough)","E08000017","no value","no value","no value","no value","no value","17"
"Dorset","Dorset (Unitary)","E06000059","no value","no value","no value","no value","no value","20"
"Dudley","Dudley (Metropolitan borough)","E08000027","no value","no value","no value","no value","no value","17"
"Durham","Durham (Unitary)","E06000047","no value","no value","no value","no value","no value","13"
"Ealing","Ealing (London borough)","E09000009","no value","no value","no value","no value","no value","18"
"East Riding of Yorkshire","East Riding of Yorkshire (Unitary)","E06000011","no value","no value","no value","no value","no value","17"
"East Sussex","East Sussex (County)","E10000011","no value","no value","no value","no value","no value","no value"
