"area label","area long label","area","Employees - Arts development and support"
"area label","area long label","area","6233"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"area label","area long label","area","GBP (000)"
"area label","area long label","area","raw"
"Devon","Devon (County)","E10000008","0"
"Cambridgeshire","Cambridgeshire (County)","E10000003","0"
"Derbyshire","Derbyshire (County)","E10000007","58"
"East Sussex","East Sussex (County)","E10000011","69"
"Essex","Essex (County)","E10000012","55"
"Gloucestershire","Gloucestershire (County)","E10000013","0"
"Hampshire","Hampshire (County)","E10000014","18"
"Hertfordshire","Hertfordshire (County)","E10000015","438"
"Kent","Kent (County)","E10000016","375"
"Lancashire","Lancashire (County)","E10000017","399"
"Leicestershire","Leicestershire (County)","E10000018","0"
"Lincolnshire","Lincolnshire (County)","E10000019","0"
"Norfolk","Norfolk (County)","E10000020","110"
"Nottinghamshire","Nottinghamshire (County)","E10000024","0"
"Oxfordshire","Oxfordshire (County)","E10000025","104"
"Staffordshire","Staffordshire (County)","E10000028","0"
"Suffolk","Suffolk (County)","E10000029","0"
"Surrey","Surrey (County)","E10000030","787"
"Warwickshire","Warwickshire (County)","E10000031","130"
"West Sussex","West Sussex (County)","E10000032","0"
"Worcestershire","Worcestershire (County)","E10000034","0"
