"area label","area long label","area","Total Income - Arts development and support"
"area label","area long label","area","6238"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"area label","area long label","area","GBP (000)"
"area label","area long label","area","raw"
"Devon","Devon (County)","E10000008","0"
"Adur","Adur (District)","E07000223","0"
"Amber Valley","Amber Valley (District)","E07000032","0"
"Arun","Arun (District)","E07000224","0"
"Ashfield","Ashfield (District)","E07000170","0"
"Ashford","Ashford (District)","E07000105","6"
"Babergh","Babergh (District)","E07000200","Missing"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","84"
"Barnet","Barnet (London borough)","E09000003","0"
"Barnsley","Barnsley (Metropolitan borough)","E08000038","91"
"Basildon","Basildon (District)","E07000066","10"
"Basingstoke and Deane","Basingstoke and Deane (District)","E07000084","41"
"Bassetlaw","Bassetlaw (District)","E07000171","0"
"Bath and North East Somerset","Bath and North East Somerset (Unitary)","E06000022","0"
"Bedford Borough","Bedford Borough (Unitary)","E06000055","0"
"Bexley","Bexley (London borough)","E09000004","0"
"Birmingham","Birmingham (Metropolitan borough)","E08000025","Missing"
"Blaby","Blaby (District)","E07000129","0"
"Blackburn with Darwen","Blackburn with Darwen (Unitary)","E06000008","1"
"Blackpool","Blackpool (Unitary)","E06000009","777"
"Bolsover","Bolsover (District)","E07000033","0"
"Bolton","Bolton (Metropolitan borough)","E08000001","0"
"Boston","Boston (District)","E07000136","0"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)","E06000058","224"
"Bracknell Forest","Bracknell Forest (Unitary)","E06000036","0"
"Bradford","Bradford (Metropolitan borough)","E08000032","209"
"Braintree","Braintree (District)","E07000067","88"
"Breckland","Breckland (District)","E07000143","0"
"Brent","Brent (London borough)","E09000005","156"
"Brentwood","Brentwood (District)","E07000068","Missing"
"Brighton and Hove","Brighton and Hove (Unitary)","E06000043","1,569"
"Bristol","Bristol (Unitary)","E06000023","223"
"Broadland","Broadland (District)","E07000144","0"
"Bromley","Bromley (London borough)","E09000006","0"
"Bromsgrove","Bromsgrove (District)","E07000234","0"
"Broxbourne","Broxbourne (District)","E07000095","0"
"Broxtowe","Broxtowe (District)","E07000172","46"
"Buckinghamshire","Buckinghamshire (Unitary)","E06000060","0"
"Burnley","Burnley (District)","E07000117","0"
"Bury","Bury (Metropolitan borough)","E08000002","29"
"Calderdale","Calderdale (Metropolitan borough)","E08000033","7"
"Cambridge","Cambridge (District)","E07000008","Missing"
"Cambridgeshire","Cambridgeshire (County)","E10000003","0"
"Camden","Camden (London borough)","E09000007","892"
"Cannock Chase","Cannock Chase (District)","E07000192","Missing"
"Canterbury","Canterbury (District)","E07000106","0"
"Castle Point","Castle Point (District)","E07000069","Missing"
"Central Bedfordshire","Central Bedfordshire (Unitary)","E06000056","0"
"Charnwood","Charnwood (District)","E07000130","22"
"Chelmsford","Chelmsford (District)","E07000070","33"
"Cheltenham","Cheltenham (District)","E07000078","0"
"Cherwell","Cherwell (District)","E07000177","52"
