"Title","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Arts, Entertainment & Recreation: Employment Weight","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Public Sector Arts, Entertainment & Recreation: Employment Weight","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Arrears","UK Workforce Jobs SA : R Arts, entertainment & recreation (thousands)","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Total Pay","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Arrears","AWE: Arts, Entertainment & Recreation Index: Non Seasonally Adjusted Regular Pay Including Arrears","AWE: Arts, Entertainment & Recreation Index: Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears","IoS: R: Art, Entertainment and Recreation: Weights","IoS: 90: Creative Arts And Entertainment Activities: Weights","Trade in Goods: Works of art (896): WW: Exports: BOP: CVM: SA","IoS: R: Arts Entertainment and Recreation: Index-1dp","Trade in Goods: Works of art (896): EU: Imports: BOP: CVM: SA","Trade in Goods: Works of art (896): WW: Imports: BOP: CVM: SA","Arts, Entertainment and Recreation (Index 1dp) :CVM SA ","Trade in Goods: Works of art (896): Non-EU: Exports: BOP: CVM: SA","GBServTO: 90 - Creative, arts and entertainment services TOTAL (£m)","IoS: 90: Creative arts and entertainment activities: Index-1dp","Arts, Entertainment and Recreation (period on period contribution) :CVM SA ","Trade in Goods: Works of art (896): EU: Exports: BOP: CVM: SA","Trade in Goods: Works of art (896): Non-EU: Imports: BOP: CVM: SA","IoS: 90: Creative arts and entertainment activities: 3m on 3m growth","Arts, Entertainment and Recreation (period on period growth) :CVM SA ","IoS: R: Arts Entertainment and Recreation: 3m on 3m growth","IoS: R: Arts Entertainment and Recreation: Period on Period Growth","IOP:23.5-6:Man of cement,lime,plaster & art of concrete,cement, plaster:Weight","IoS: 90: Creative arts and entertainment activities: Period on Period Growth","IoS: R: Arts Entertainment and Recreation: 1m on 1m a yr ago growth","Arts, Entertainment and Recreation (3m on 3m 1 year ago contribution) :CVM SA "
"CDID","JP9X","K6T4","JP9X","K6T9","K5EJ","K5EK","JWT6","K5EI","JPC2","JPC2","K5BO","K5BP","K5EW","K5F2","EQSH","K5BN","K5EO","K5ES","EQRJ","L4YB","L4X2","BOLA","S2MG","SLPM","BQGJ","ECYT","SLQA","JSM2","S2MH","EDLB","SLNZ","SLQN","S2D3","ED2N","S2D2","S23M","KM34","S23N","S28C","EDNS"
"Source dataset ID","UNEM","EMP","LMS","EMP","EMP","EMP","LMS","EMP","UNEM","LMS","EMP","EMP","EMP","EMP","EMP","EMP","EMP","EMP","EMP","IOS1","IOS1","MRET","IOS1","MRET","MRET","MGDP","MRET","IOS1","IOS1","MGDP","MRET","MRET","IOS1","MGDP","IOS1","IOS1","DIOP","IOS1","IOS1","MGDP"
"PreUnit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Release date","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025","11-04-2025"
"Next release","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025","15 May 2025"
"Important notes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,"490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",,,,,,,"507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,"510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,"508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,"514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,"509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,"547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
