"Title","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Arts, Entertainment & Recreation: Employment Weight","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Public Sector Arts, Entertainment & Recreation: Employment Weight","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Arrears","UK Workforce Jobs SA : R Arts, entertainment & recreation (thousands)","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Total Pay","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation"
"CDID","JP9X","K6T4","JP9X","K6T9","K5EJ","K5EK","JWT6","K5EI","JPC2","JPC2"
"Source dataset ID","UNEM","EMP","LMS","EMP","EMP","EMP","LMS","EMP","UNEM","LMS"
"PreUnit","","","","","","","","","",""
"Unit","","","","","","","","","",""
"Release date","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025"
"Next release","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025"
"Important notes",,,,,,,,,,
"1978",,,,,,,"490",,,
"1979",,,,,,,"507",,,
"1980",,,,,,,"510",,,
"1981",,,,,,,"508",,,
"1982",,,,,,,"514",,,
"1983",,,,,,,"509",,,
"1984",,,,,,,"547",,,
"1985",,,,,,,"573",,,
"1986",,,,,,,"583",,,
"1987",,,,,,,"600",,,
"1988",,,,,,,"618",,,
"1989",,,,,,,"643",,,
"1990",,,,,,,"642",,,
"1991",,,,,,,"624",,,
"1992",,,,,,,"635",,,
"1993",,,,,,,"646",,,
"1994",,,,,,,"648",,,
"1995",,,,,,,"654",,,
"1996",,,,,,,"660",,,
"1997",,,,,,,"681",,,
"1998",,,,,,,"645",,,
"1999",,,,,,,"712",,,
"2000",,,,,"13","0","742","260",,
"2001",,,,,"11","1","750","264",,
"2002","14",,"14",,"10","0","792","270",,
"2003","13",,"13",,"10","0","792","262",,
"2004","14",,"14",,"13","1","823","277",,
"2005","12",,"12",,"11","0","849","277",,
"2006","13",,"13",,"10","0","881","273",,
"2007","12",,"12",,"14","0","864","293",,
"2008","12",,"12",,"13","0","896","307",,
