"Title","Trade in Goods: Works of art (896): EU: Imports: BOP: CVM: SA"
"CDID","SLPM"
"Source dataset ID","MRET"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"1997","75"
"1998","95"
"1999","122"
"2000","124"
"2001","137"
"2002","101"
"2003","93"
"2004","89"
"2005","96"
"2006","150"
"2007","145"
"2008","186"
"2009","81"
"2010","158"
"2011","226"
"2012","202"
"2013","251"
"2014","186"
"2015","395"
"2016","389"
"2017","289"
"2018","386"
"2019","310"
"2020","270"
"2021","247"
"2022","740"
"2023","759"
"2024","873"
"1997 Q1","15"
"1997 Q2","18"
"1997 Q3","15"
"1997 Q4","27"
"1998 Q1","25"
"1998 Q2","22"
"1998 Q3","15"
"1998 Q4","33"
"1999 Q1","56"
"1999 Q2","26"
"1999 Q3","21"
"1999 Q4","19"
"2000 Q1","38"
"2000 Q2","21"
"2000 Q3","31"
"2000 Q4","34"
"2001 Q1","36"
"2001 Q2","26"
"2001 Q3","32"
"2001 Q4","43"
"2002 Q1","19"
"2002 Q2","34"
"2002 Q3","18"
"2002 Q4","30"
"2003 Q1","24"
"2003 Q2","25"
"2003 Q3","20"
"2003 Q4","24"
"2004 Q1","27"
"2004 Q2","30"
"2004 Q3","17"
"2004 Q4","15"
"2005 Q1","32"
"2005 Q2","20"
"2005 Q3","17"
"2005 Q4","27"
"2006 Q1","45"
"2006 Q2","29"
"2006 Q3","42"
"2006 Q4","34"
"2007 Q1","21"
"2007 Q2","52"
"2007 Q3","29"
"2007 Q4","43"
"2008 Q1","37"
"2008 Q2","26"
"2008 Q3","107"
"2008 Q4","16"
"2009 Q1","31"
"2009 Q2","29"
"2009 Q3","11"
"2009 Q4","10"
"2010 Q1","43"
"2010 Q2","20"
"2010 Q3","50"
"2010 Q4","45"
"2011 Q1","21"
"2011 Q2","80"
"2011 Q3","50"
"2011 Q4","75"
"2012 Q1","69"
"2012 Q2","54"
"2012 Q3","44"
"2012 Q4","35"
"2013 Q1","80"
"2013 Q2","70"
"2013 Q3","62"
"2013 Q4","39"
"2014 Q1","25"
"2014 Q2","47"
"2014 Q3","33"
"2014 Q4","81"
"2015 Q1","118"
"2015 Q2","76"
"2015 Q3","67"
"2015 Q4","134"
"2016 Q1","94"
"2016 Q2","94"
"2016 Q3","123"
"2016 Q4","78"
"2017 Q1","58"
"2017 Q2","54"
"2017 Q3","105"
"2017 Q4","72"
"2018 Q1","130"
"2018 Q2","113"
"2018 Q3","86"
"2018 Q4","57"
"2019 Q1","52"
"2019 Q2","72"
"2019 Q3","95"
"2019 Q4","91"
"2020 Q1","87"
"2020 Q2","74"
"2020 Q3","41"
"2020 Q4","68"
"2021 Q1","55"
"2021 Q2","98"
"2021 Q3","38"
"2021 Q4","56"
"2022 Q1","171"
"2022 Q2","204"
"2022 Q3","199"
"2022 Q4","166"
"2023 Q1","258"
"2023 Q2","208"
"2023 Q3","157"
"2023 Q4","136"
"2024 Q1","173"
"2024 Q2","213"
"2024 Q3","248"
