"Title","IoS: 90: Creative Arts And Entertainment Activities: Weights"
"CDID","L4X2"
"Source dataset ID","IOS1"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"1997","4.8"
"1998","4.5"
"1999","4.6"
"2000","5.0"
"2001","4.5"
"2002","5.0"
"2003","4.3"
"2004","4.3"
"2005","4.6"
"2006","4.8"
"2007","4.9"
"2008","4.4"
"2009","4.4"
"2010","4.6"
"2011","4.8"
"2012","4.8"
"2013","5.1"
"2014","4.7"
"2015","4.8"
"2016","4.8"
"2017","4.9"
"2018","5.0"
"2019","5.4"
"2020","4.0"
"2021","4.6"
"2022","4.9"
"2023","4.9"
"2024","4.9"
