"Title","IoS: 90: Creative arts and entertainment activities: 3m on 3m growth"
"CDID","S2D3"
"Source dataset ID","IOS1"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"1997 JAN",""
"1997 FEB",""
"1997 MAR",""
"1997 APR",""
"1997 MAY",""
"1997 JUN","17.2"
"1997 JUL","5.4"
"1997 AUG","-13.7"
"1997 SEP","-24.3"
"1997 OCT","-19.2"
"1997 NOV","1.0"
"1997 DEC","24.3"
"1998 JAN","27.0"
"1998 FEB","9.6"
"1998 MAR","-11.4"
"1998 APR","-25.1"
"1998 MAY","-27.5"
"1998 JUN","-17.7"
"1998 JUL","5.5"
"1998 AUG","29.1"
"1998 SEP","35.8"
"1998 OCT","21.5"
"1998 NOV","1.6"
"1998 DEC","-10.8"
"1999 JAN","-14.3"
"1999 FEB","-9.0"
"1999 MAR","0.3"
"1999 APR","6.8"
"1999 MAY","8.7"
"1999 JUN","5.3"
"1999 JUL","2.3"
"1999 AUG","-2.0"
"1999 SEP","-4.8"
"1999 OCT","-4.6"
"1999 NOV","0.5"
"1999 DEC","8.5"
"2000 JAN","14.7"
"2000 FEB","14.9"
"2000 MAR","12.3"
"2000 APR","4.9"
"2000 MAY","-0.4"
"2000 JUN","-5.5"
"2000 JUL","-3.7"
"2000 AUG","-2.1"
"2000 SEP","-0.1"
"2000 OCT","-1.0"
"2000 NOV","-0.1"
"2000 DEC","1.6"
"2001 JAN","-0.5"
"2001 FEB","-2.0"
"2001 MAR","-5.4"
"2001 APR","2.1"
"2001 MAY","4.1"
"2001 JUN","2.4"
"2001 JUL","-7.7"
"2001 AUG","-12.2"
"2001 SEP","-5.2"
"2001 OCT","1.5"
"2001 NOV","3.4"
"2001 DEC","-2.1"
"2002 JAN","0.4"
"2002 FEB","5.0"
"2002 MAR","10.0"
"2002 APR","2.9"
"2002 MAY","4.4"
"2002 JUN","3.5"
"2002 JUL","5.4"
"2002 AUG","1.8"
"2002 SEP","0.5"
"2002 OCT","3.7"
"2002 NOV","-0.5"
"2002 DEC","-2.3"
"2003 JAN","-5.7"
"2003 FEB","0.6"
"2003 MAR","-1.7"
"2003 APR","-0.8"
"2003 MAY","-6.6"
"2003 JUN","-5.0"
"2003 JUL","-6.6"
"2003 AUG","-3.6"
"2003 SEP","-1.8"
"2003 OCT","-2.1"
"2003 NOV","-2.8"
"2003 DEC","-4.8"
"2004 JAN","-2.6"
"2004 FEB","1.9"
"2004 MAR","6.0"
"2004 APR","9.0"
"2004 MAY","2.2"
"2004 JUN","2.4"
"2004 JUL","1.8"
"2004 AUG","0.5"
"2004 SEP","-5.5"
"2004 OCT","-10.1"
"2004 NOV","-2.8"
"2004 DEC","3.1"
"2005 JAN","7.6"
"2005 FEB","2.6"
"2005 MAR","-0.4"
"2005 APR","-1.1"
"2005 MAY","3.7"
"2005 JUN","9.0"
"2005 JUL","11.8"
"2005 AUG","9.8"
"2005 SEP","7.2"
"2005 OCT","5.0"
"2005 NOV","1.3"
"2005 DEC","0.4"
"2006 JAN","-0.7"
"2006 FEB","2.4"
"2006 MAR","1.8"
"2006 APR","2.2"
"2006 MAY","2.9"
"2006 JUN","0.7"
"2006 JUL","-1.6"
"2006 AUG","-5.7"
"2006 SEP","-1.0"
"2006 OCT","2.4"
"2006 NOV","6.7"
"2006 DEC","3.1"
"2007 JAN","-4.1"
"2007 FEB","-8.4"
"2007 MAR","-10.0"
"2007 APR","-0.4"
"2007 MAY","3.0"
"2007 JUN","8.2"
"2007 JUL","4.6"
"2007 AUG","5.5"
"2007 SEP","4.9"
"2007 OCT","9.1"
"2007 NOV","10.1"
