"Title","IoS: 90: Creative arts and entertainment activities: 1m on 1m a yr ago growth"
"CDID","S28D"
"Source dataset ID","IOS1"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"1997 JAN",""
"1997 FEB",""
"1997 MAR",""
"1997 APR",""
"1997 MAY",""
"1997 JUN",""
"1997 JUL",""
"1997 AUG",""
"1997 SEP",""
"1997 OCT",""
"1997 NOV",""
"1997 DEC",""
"1998 JAN","11.9"
"1998 FEB","1.0"
"1998 MAR","-18.7"
"1998 APR","-35.8"
"1998 MAY","-36.2"
"1998 JUN","-22.0"
"1998 JUL","6.8"
"1998 AUG","35.2"
"1998 SEP","29.4"
"1998 OCT","4.4"
"1998 NOV","-15.0"
"1998 DEC","-22.2"
"1999 JAN","-15.7"
"1999 FEB","-0.2"
"1999 MAR","20.2"
"1999 APR","37.1"
"1999 MAY","33.3"
"1999 JUN","15.7"
"1999 JUL","-2.8"
"1999 AUG","-13.8"
"1999 SEP","-13.8"
"1999 OCT","-4.0"
"1999 NOV","12.3"
"1999 DEC","20.5"
"2000 JAN","26.0"
"2000 FEB","22.6"
"2000 MAR","18.1"
"2000 APR","11.5"
"2000 MAY","8.4"
"2000 JUN","8.8"
"2000 JUL","14.3"
"2000 AUG","14.8"
"2000 SEP","16.1"
"2000 OCT","13.2"
"2000 NOV","6.8"
"2000 DEC","3.7"
"2001 JAN","-11.2"
"2001 FEB","-5.7"
"2001 MAR","-10.8"
"2001 APR","7.7"
"2001 MAY","3.2"
"2001 JUN","-15.9"
"2001 JUL","-8.6"
"2001 AUG","-7.2"
"2001 SEP","-4.2"
"2001 OCT","-2.8"
"2001 NOV","-14.8"
"2001 DEC","-12.3"
"2002 JAN","17.5"
"2002 FEB","-5.9"
"2002 MAR","3.1"
"2002 APR","-6.3"
"2002 MAY","2.2"
"2002 JUN","25.6"
"2002 JUL","5.9"
"2002 AUG","15.5"
"2002 SEP","14.8"
"2002 OCT","8.4"
"2002 NOV","9.8"
"2002 DEC","17.6"
"2003 JAN","-6.7"
"2003 FEB","10.6"
"2003 MAR","-3.1"
"2003 APR","-0.4"
"2003 MAY","-10.7"
"2003 JUN","-13.5"
"2003 JUL","-3.8"
"2003 AUG","-11.7"
"2003 SEP","-15.0"
"2003 OCT","-16.7"
"2003 NOV","-3.1"
"2003 DEC","-17.2"
"2004 JAN","-13.9"
