"Title","CPA 08:EU:IM:CVM:BOP:NSA: 90. Creative, arts & entertainment services"
"CDID","P3RX"
"Source dataset ID","MQ10"
"PreUnit",""
"Unit",""
"Release date","28-03-2025"
"Next release","15 May 2025"
"Important notes",
"1997","22"
"1998","44"
"1999","79"
"2000","79"
"2001","104"
"2002","64"
"2003","59"
"2004","53"
"2005","46"
"2006","115"
"2007","131"
"2008","158"
"2009","67"
"2010","132"
"2011","163"
"2012","169"
"2013","194"
"2014","150"
"2015","344"
"2016","348"
"2017","227"
"2018","326"
"2019","274"
"2020","247"
"2021","242"
"2022","475"
"2023","453"
"2024","610"
"1997 Q1","5"
"1997 Q2","5"
"1997 Q3","3"
"1997 Q4","9"
"1998 Q1","10"
"1998 Q2","7"
"1998 Q3","7"
"1998 Q4","20"
"1999 Q1","48"
"1999 Q2","12"
"1999 Q3","10"
"1999 Q4","9"
"2000 Q1","28"
"2000 Q2","9"
"2000 Q3","21"
"2000 Q4","21"
"2001 Q1","24"
"2001 Q2","18"
"2001 Q3","27"
"2001 Q4","35"
"2002 Q1","13"
"2002 Q2","20"
"2002 Q3","10"
"2002 Q4","21"
"2003 Q1","19"
"2003 Q2","17"
"2003 Q3","13"
"2003 Q4","10"
"2004 Q1","14"
"2004 Q2","22"
"2004 Q3","9"
"2004 Q4","8"
"2005 Q1","17"
"2005 Q2","7"
"2005 Q3","14"
"2005 Q4","8"
"2006 Q1","33"
"2006 Q2","17"
"2006 Q3","39"
"2006 Q4","26"
"2007 Q1","18"
"2007 Q2","47"
"2007 Q3","27"
"2007 Q4","39"
"2008 Q1","29"
"2008 Q2","19"
"2008 Q3","96"
"2008 Q4","14"
"2009 Q1","27"
"2009 Q2","23"
"2009 Q3","8"
"2009 Q4","9"
"2010 Q1","38"
"2010 Q2","17"
"2010 Q3","48"
"2010 Q4","29"
"2011 Q1","18"
"2011 Q2","28"
"2011 Q3","47"
"2011 Q4","70"
"2012 Q1","60"
"2012 Q2","48"
"2012 Q3","39"
"2012 Q4","22"
"2013 Q1","50"
"2013 Q2","57"
"2013 Q3","56"
"2013 Q4","31"
"2014 Q1","17"
"2014 Q2","32"
"2014 Q3","30"
"2014 Q4","71"
"2015 Q1","107"
"2015 Q2","63"
"2015 Q3","57"
"2015 Q4","117"
"2016 Q1","82"
"2016 Q2","79"
"2016 Q3","114"
"2016 Q4","73"
"2017 Q1","43"
"2017 Q2","51"
"2017 Q3","79"
"2017 Q4","54"
"2018 Q1","114"
"2018 Q2","90"
"2018 Q3","70"
"2018 Q4","52"
"2019 Q1","44"
"2019 Q2","61"
"2019 Q3","88"
"2019 Q4","81"
"2020 Q1","75"
"2020 Q2","70"
"2020 Q3","37"
"2020 Q4","65"
"2021 Q1","53"
"2021 Q2","97"
"2021 Q3","37"
"2021 Q4","55"
"2022 Q1","124"
"2022 Q2","122"
"2022 Q3","118"
"2022 Q4","111"
"2023 Q1","151"
"2023 Q2","131"
"2023 Q3","88"
"2023 Q4","83"
"2024 Q1","90"
"2024 Q2","140"
"2024 Q3","195"
"2024 Q4","185"
