"Title","CPA 08:WW:IM:CP:BOP:NSA: 90. Creative, arts & entertainment services"
"CDID","P279"
"Source dataset ID","MQ10"
"PreUnit",""
"Unit",""
"Release date","28-03-2025"
"Next release","15 May 2025"
"Important notes",
"1997","506"
"1998","930"
"1999","802"
"2000","820"
"2001","957"
"2002","1004"
"2003","720"
"2004","742"
"2005","755"
"2006","934"
"2007","1112"
"2008","940"
"2009","770"
"2010","916"
"2011","1411"
"2012","1677"
"2013","1168"
"2014","1170"
"2015","1332"
"2016","1815"
"2017","1700"
"2018","1890"
"2019","2003"
"2020","1352"
"2021","1141"
"2022","1665"
"2023","1274"
"2024","1724"
"1997 Q1","119"
"1997 Q2","200"
"1997 Q3","66"
"1997 Q4","121"
"1998 Q1","282"
"1998 Q2","231"
"1998 Q3","217"
"1998 Q4","200"
"1999 Q1","209"
"1999 Q2","256"
"1999 Q3","127"
"1999 Q4","210"
"2000 Q1","188"
"2000 Q2","228"
"2000 Q3","186"
"2000 Q4","218"
"2001 Q1","167"
"2001 Q2","395"
"2001 Q3","136"
"2001 Q4","259"
"2002 Q1","225"
"2002 Q2","428"
"2002 Q3","187"
"2002 Q4","164"
"2003 Q1","181"
"2003 Q2","235"
"2003 Q3","112"
"2003 Q4","192"
"2004 Q1","298"
"2004 Q2","202"
"2004 Q3","103"
"2004 Q4","139"
"2005 Q1","196"
"2005 Q2","274"
"2005 Q3","110"
"2005 Q4","175"
"2006 Q1","278"
"2006 Q2","247"
"2006 Q3","159"
"2006 Q4","250"
"2007 Q1","281"
"2007 Q2","350"
"2007 Q3","233"
"2007 Q4","248"
"2008 Q1","232"
"2008 Q2","227"
"2008 Q3","301"
"2008 Q4","180"
"2009 Q1","227"
"2009 Q2","198"
"2009 Q3","142"
"2009 Q4","203"
"2010 Q1","209"
"2010 Q2","301"
"2010 Q3","195"
"2010 Q4","211"
"2011 Q1","229"
"2011 Q2","440"
"2011 Q3","397"
"2011 Q4","345"
"2012 Q1","427"
"2012 Q2","474"
"2012 Q3","441"
"2012 Q4","335"
"2013 Q1","314"
"2013 Q2","320"
"2013 Q3","309"
"2013 Q4","225"
"2014 Q1","331"
"2014 Q2","311"
"2014 Q3","234"
"2014 Q4","294"
"2015 Q1","267"
"2015 Q2","369"
"2015 Q3","358"
"2015 Q4","338"
"2016 Q1","694"
"2016 Q2","434"
"2016 Q3","400"
"2016 Q4","287"
"2017 Q1","340"
"2017 Q2","407"
"2017 Q3","411"
"2017 Q4","542"
"2018 Q1","516"
"2018 Q2","656"
"2018 Q3","339"
"2018 Q4","379"
"2019 Q1","468"
"2019 Q2","572"
"2019 Q3","489"
"2019 Q4","474"
"2020 Q1","367"
"2020 Q2","132"
"2020 Q3","274"
"2020 Q4","579"
"2021 Q1","203"
"2021 Q2","317"
"2021 Q3","254"
"2021 Q4","367"
"2022 Q1","343"
"2022 Q2","397"
"2022 Q3","486"
"2022 Q4","439"
"2023 Q1","327"
"2023 Q2","390"
"2023 Q3","294"
"2023 Q4","263"
"2024 Q1","306"
"2024 Q2","469"
"2024 Q3","481"
"2024 Q4","468"
