"Title","GBServTO: 90 - Creative, arts and entertainment services TOTAL (£m)"
"CDID","JSM2"
"Source dataset ID","IOS1"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"1998","4816.1"
"1999","4583.3"
"2000","4825.8"
"2001","4918.4"
"2002","5163.9"
"2003","5691.8"
"2004","6017.8"
"2005","5858.6"
"2006","5675.7"
"2007","6227.5"
"2008","6124.6"
"2009","6195.3"
"2010","6875.1"
"2011","7594.9"
"2012","8326.7"
"2013","8322.7"
"2014","8052.5"
"2015","8959.1"
"2016","8841.7"
"2017","9112.7"
"2018","10265.0"
"2019","9821.9"
"2020","5483.7"
"2021","6295.5"
"2022","11114.2"
"2023","11981.0"
"2024","14079.2"
"1998 Q1","1029.0"
"1998 Q2","967.6"
"1998 Q3","1482.9"
"1998 Q4","1336.6"
"1999 Q1","1076.6"
"1999 Q2","1175.7"
"1999 Q3","1111.9"
"1999 Q4","1219.1"
"2000 Q1","1168.7"
"2000 Q2","1147.4"
"2000 Q3","1217.8"
"2000 Q4","1291.9"
"2001 Q1","1220.8"
"2001 Q2","1237.1"
"2001 Q3","1207.8"
"2001 Q4","1252.7"
"2002 Q1","1250.5"
"2002 Q2","1302.5"
"2002 Q3","1236.6"
"2002 Q4","1374.3"
"2003 Q1","1309.7"
"2003 Q2","1427.3"
"2003 Q3","1410.6"
"2003 Q4","1544.2"
"2004 Q1","1430.9"
"2004 Q2","1570.9"
"2004 Q3","1408.7"
"2004 Q4","1607.3"
"2005 Q1","1312.4"
"2005 Q2","1497.1"
"2005 Q3","1480.2"
"2005 Q4","1568.9"
"2006 Q1","1313.4"
"2006 Q2","1392.6"
"2006 Q3","1328.9"
"2006 Q4","1640.8"
"2007 Q1","1246.7"
"2007 Q2","1462.8"
"2007 Q3","1645.5"
"2007 Q4","1872.5"
"2008 Q1","1522.6"
"2008 Q2","1538.8"
"2008 Q3","1556.8"
"2008 Q4","1506.4"
