UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
22006600,525688.0,107173.0,50.8504236,-0.2158666
22006993,526633.0,104604.0,50.8271272,-0.2033362
22006994,526368.0,104787.0,50.8288299,-0.2070338
22007001,526340.0,104796.0,50.8289169,-0.2074281
22007002,526405.0,104785.0,50.8288039,-0.2065094
22007006,526742.0,104582.0,50.8269057,-0.201797
22007013,526633.0,104604.0,50.8271272,-0.2033362
22007017,526633.0,104604.0,50.8271272,-0.2033362
22007020,526633.0,104604.0,50.8271272,-0.2033362
22007022,526404.0,104779.0,50.8287501,-0.2065257
22007023,526374.0,104791.0,50.8288645,-0.2069473
22007024,526370.0,104800.0,50.8289463,-0.207001
22007045,526284.0,104951.0,50.8303223,-0.2081695
22007046,526282.0,104892.0,50.8297924,-0.2082182
22007272,526901.0,104784.0,50.8286865,-0.1994707
22007273,526894.0,104788.0,50.828724,-0.1995687
22007369,526562.0,104827.0,50.8291471,-0.2042668
22007508,526888.0,104788.0,50.8287253,-0.1996538
22007509,526882.0,104790.0,50.8287446,-0.1997383
22007608,526581.0,104786.0,50.8287744,-0.2040113
22007610,526781.0,104810.0,50.8289464,-0.2011647
22007612,526762.0,104809.0,50.8289416,-0.2014347
22007615,526306.0,104890.0,50.8297692,-0.2078782
22007619,526281.0,104888.0,50.8297567,-0.2082337
22007621,526286.0,104902.0,50.8298814,-0.2081579
22007626,526281.0,104932.0,50.8301521,-0.2082186
22007627,526283.0,104898.0,50.8298461,-0.2082019
22007628,526545.45,104846.48,50.8293258,-0.204495
22007629,526768.0,104809.0,50.8289403,-0.2013496
22007630,526774.0,104808.0,50.82893,-0.2012648
22007642,526253.0,104916.0,50.8300144,-0.2086215
22007643,526252.0,104911.0,50.8299697,-0.2086374
22007644,526251.0,104907.0,50.829934,-0.2086529
22007648,526238.0,104961.0,50.8304222,-0.2088189
22007663,526688.0,104779.0,50.8286881,-0.2024953
22007687,526253.0,104929.0,50.8301313,-0.208617
22007692,526787.0,104759.0,50.8284867,-0.2010972
22007699,526525.0,104768.0,50.8286249,-0.2048123
22007702,526339.0,104787.0,50.8288362,-0.2074454
22007703,526495.0,104771.0,50.8286584,-0.205237
22007704,526511.0,104771.0,50.8286549,-0.2050099
22007705,526368.0,104791.0,50.8288659,-0.2070325
22007706,526430.0,104783.0,50.8287804,-0.2061553
22007712,526518.0,104768.0,50.8286264,-0.2049116
22007713,526374.0,104785.0,50.8288106,-0.2069494
22007715,526341.0,104805.0,50.8289976,-0.2074108
22007716,526504.0,104772.0,50.8286654,-0.2051089
22007717,526727.0,105906.0,50.8388093,-0.2015524
