"period label","period","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months"
"period label","period","23560","23560","23560","23560"
"period label","period","%","%","%","%"
"period label","period","raw","raw","raw","raw"
"period label","period","Peterborough","Minimum for All English single tier and county councils","Mean for All English single tier and county councils","Maximum for All English single tier and county councils"
"period label","period","E06000031","[summary][min][area][AllSingleTierAndCountyLaInCountry_England]","[summary][mean][area][AllSingleTierAndCountyLaInCountry_England]","[summary][max][area][AllSingleTierAndCountyLaInCountry_England]"
"2018/19","fin_2018_19","no value","no value","no value","no value"
"2019/20","fin_2019_20","no value","no value","no value","no value"
"2020/21","fin_2020_21","no value","no value","no value","no value"
"2021/22","fin_2021_22","no value","no value","no value","no value"
"2022/23","fin_2022_23","no value","no value","no value","no value"
"2023/24","fin_2023_24","14","11","17","22"
